id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms
241,sanitize,/ˈsænɪtaɪz/,to make clean; to remove offensive parts,"tẩy rửa, lọc sạch","clean, purify, censor"
242,populate,/ˈpɑːpjəleɪt/,to inhabit; to form the population of,"định cư, tạo nên dân số","inhabit, occupy, settle"
243,estimate,/ˈestɪmeɪt/,to roughly calculate the value,ước tính,"calculate, gauge, judge"
244,resemblance,/rɪˈzembləns/,the state of being alike,sự giống nhau,"similarity, likeness, correspondence"
245,multifariousn ess,/ˌmʌltɪˈferiəs nəs/,the state of being diverse and varied,sự đa dạng,"diversity, variety, heterogeneity"
246,obstinacy,/ˈɑːbstɪnəsi/,the quality of being stubborn,tính ngoan cố,"stubbornness, inflexibility, intransigence"
247,entanglemen t,/ɪnˈtæŋɡəlmə nt/,the state of being twisted together,sự vướng mắc,"involvement, complication, snarl"
248,hyperbolize,/haɪˈpɜːrbəlaɪ z/,to exaggerate,phóng đại,"exaggerate, overstate, magnify"
249,deride,/dɪˈraɪd/,to express contempt; to ridicule,"chế nhạo, giễu cợt","mock, ridicule, scorn"
250,substantial,/səbˈstænʃəl/,of considerable importance or size,đáng kể,"considerable, significant, sizeable"
251,cohesion,/koʊˈhiːʒən/,the action of forming a united whole,sự gắn kết,"unity, solidarity, togetherness"
252,wane,/weɪn/,"to decrease in vigor, power, or extent",suy giảm,"diminish, decline, decrease"
253,revitalize,/riˈvaɪtəlaɪz/,to give new life to,"hồi sinh, làm sống lại","rejuvenate, restore, refresh"
254,infer,/ɪnˈfɜːr/,to deduce from evidence and reasoning,suy ra ,"deduce, conclude, gather"
255,quotidian,/kwoʊˈtɪdiən/,of or occurring every day; ordinary,"hàng ngày, thường nhật","daily, everyday, ordinary"
256,meritorious,/ˌmerɪˈtɔːriəs/,deserving reward or praise,đáng được khen,"deserving, worthy, praiseworthy"
257,prompt,/prɑːmpt/,to cause to do something; immediate,thúc đẩy; ngay lập tức,"incite, induce; immediate"
258,inconspicuou s,/ˌɪnkənˈspɪkju əs/,not clearly visible; unobtrusive,"kín đáo, không nổi bật","unnoticeable, unobtrusive, discreet"
259,extemporane ous,/ɪkˌstempəˈre ɪniəs/,spoken without preparation,"ứng khẩu, tức hứng","impromptu, spontaneous, off-the-cuff"
260,emanate,/ˈeməneɪt/,to issue or spread out from,"phát ra, tỏa ra","emit, radiate, issue"
261,yield,/jiːld/,to produce or provide; to surrender,sinh ra; nhượng bộ,"produce, surrender, give way"
262,prioritize,/praɪˈɔːrətaɪz/,to designate as more important,ưu tiên,"rank, emphasize, focus on"
263,foment,/foʊˈment/,to instigate or stir up,"kích động, xúi giục","incite, instigate, provoke"
264,safeguard,/ˈseɪfɡɑːrd/,to protect from harm,bảo vệ,"protect, shield, defend"
265,prevalent,/ˈprevələnt/,widespread in a particular area,phổ biến,"widespread, common, predominant"
266,profusion,/prəˈfjuːʒən/,an abundance of something,sự dồi dào,"abundance, wealth, plethora "
267,manifestatio n,/ˌmænɪfeˈsteɪ ʃən/,a sign of the existence of something,biểu hiện,"expression, display, demonstration"
268,proclamation,/ˌprɑːkləˈmeɪʃ ən/,a public or official announcement,lời tuyên bố,"declaration, announcement, decree"
269,recurrence,/rɪˈkɜːrəns/,the fact of occurring again,sự tái diễn,"repetition, return, reappearance"
270,discrepancy,/dɪˈskrepənsi/,a lack of compatibility,sự khác biệt,"inconsistency, disparity, divergence"
271,distinct,/dɪˈstɪŋkt/,clearly different; separate,"rõ ràng, khác biệt","separate, different, unmistakable"
272,antithetical,/ˌæntɪˈθetɪkəl/,directly opposed; mutually incompatible,trái ngược hoàn toàn,"opposite, contrary, contradictory"
273,counterfactu al,/ˌkaʊntərˈfæk tʃuəl/,relating to what did not happen,phản thực tế,"hypothetical, alternative, imaginary"
274,oscillate,/ˈɑːsɪleɪt/,to move or swing back and forth,dao động,"fluctuate, vacillate, sway"
275,gratify,/ˈɡrætɪfaɪ/,to give pleasure or satisfaction,làm hài lòng,"please, satisfy, delight"
276,compel,/kəmˈpel/,to force or oblige to do,ép buộc,"force, oblige, coerce"
277,fastidious,/fæˈstɪdiəs/,very attentive to detail,"khó tính, kỹ lưỡng","meticulous, scrupulous, particular"
278,capricious,/kəˈprɪʃəs/,given to sudden changes of mood,thất thường,"fickle, volatile, mercurial"
279,decisiveness,/dɪˈsaɪsɪvnəs/,the ability to make decisions quickly,tính quyết đoán,"resoluteness, determination, firmness"
280,turnover,/ˈtɜːrnˌoʊvər/,the rate at which people leave,tỷ lệ thay đổi nhân sự,"rotation, replacement, churn"
281,protean,/ˈproʊtiən/,tending or able to change frequently,"biến hóa, đa dạng","versatile, changeable, mutable"
282,immaterial,/ˌɪməˈtɪriəl/,unimportant under the circumstances,không quan trọng,"irrelevant, unimportant, inconsequential"
283,expand,/ɪkˈspænd/,to become larger; develop in detail,mở rộng,"enlarge, extend, develop"
284,universal,/ˌjuːnɪˈvɜːrsəl/,applicable to all cases,"phổ quát, toàn cầu","general, worldwide, comprehensive"
285,irrelevant,/ɪˈreləvənt/,not connected with what is being considered,không liên quan,"unrelated, immaterial, inapplicable"
286,applicable,/əˈplɪkəbəl/,relevant or appropriate,có thể áp dụng,"relevant, pertinent, suitable"
287,heterogeneit y,/ˌhetərədʒəˈn iːəti/,the quality of being diverse,"sự đa dạng, không đồng nhất","diversity, variety, dissimilarity"
288,intransigenc e,/ɪnˈtrænsɪdʒə ns/,refusal to compromise,tính cứng đầu,"obstinacy, stubbornness, inflexibility"
289,misinterpret,/ˌmɪsɪnˈtɜːrpr ət/,to interpret wrongly,hiểu sai,"misunderstand, misread, misconstrue"
290,indicative,/ɪnˈdɪkətɪv/,serving as a sign or indication,biểu thị,"suggestive, symptomatic, demonstrative"
291,quintessenti al,/ˌkwɪntɪˈsenʃə l/,representing the most perfect example ,"tinh túy, điển hình nhất","archetypal, classic, ultimate"
292,pretext,/ˈpriːtekst/,a false reason given to hide the real one,"cớ, lý do giả","excuse, pretense, ruse"
293,fortuitous,/fɔːrˈtuːɪtəs/,"happening by chance, often fortunately",tình cờ may mắn,"chance, accidental, serendipitous"
294,repudiation,/rɪˌpjuːdiˈeɪʃə n/,the rejection of a proposition,sự bác bỏ,"rejection, denial, renunciation"
295,divisive,/dɪˈvaɪsɪv/,tending to cause disagreement,gây chia rẽ,"polarizing, contentious, controversial"
296,bestow,/bɪˈstoʊ/,to confer or present an honor,"ban tặng, trao","give, grant, confer"
297,wrought,/rɔːt/,made or shaped; brought about,"được làm ra, gây ra ","fashioned, produced, caused"
298,placate,/ˈpleɪkeɪt/,to make less angry; to pacify,xoa dịu,"appease, pacify, mollify"
299,succinct,/səkˈsɪŋkt/,briefly and clearly expressed,súc tích,"concise, brief, terse"
300,utopian,/juˈtoʊpiən/,modeled on or aiming for a perfect state,không tưởng,"idealistic, visionary, perfect"
301,punitive,/ˈpjuːnətɪv/,inflicting punishment,trừng phạt,"penal, retributive, disciplinary"
302,viable,/ˈvaɪəbəl/,capable of working successfully; feasible,khả thi,"feasible, workable, practicable"
303,rationalize,/ˈræʃənəlaɪz/,to attempt to justify with logical reasoning,biện minh,"justify, explain, account for"
304,tranquil,/ˈtræŋkwɪl/,free from disturbance; calm,yên bình,"peaceful, calm, serene"
305,disengage,/ˌdɪsɪnˈɡeɪdʒ/,to separate or release,tách rời,"detach, disentangle, withdraw"
306,accidental,/ˌæksɪˈdentəl/,happening by chance,"tình cờ, ngẫu nhiên","unintentional, chance, fortuitous"
307,demarcate,/ˈdiːmɑːrkeɪt/,to set the boundaries of,phân định ranh giới,"delimit, define, distinguish"
308,reconstitute,/riˈkɑːnstɪtuːt/,to form or reorganize again,"tái lập, khôi phục","restore, rebuild, reorganize"
309,deliberate,/dɪˈlɪbərət/,done consciously and intentionally,có chủ ý,"intentional, planned, calculated"
310,coincidental,/koʊˌɪnsɪˈdent əl/,happening by chance at the same time,trùng hợp ngẫu nhiên ,"accidental, fortuitous, chance"
311,relinquish,/rɪˈlɪŋkwɪʃ/,to voluntarily cease to keep,từ bỏ,"give up, surrender, release"
312,discount,/ˈdɪskaʊnt/,to regard as not important,"coi nhẹ, bỏ qua","dismiss, disregard, downplay"
313,ubiquity,/juˈbɪkwəti/,the fact of being everywhere,tính có mặt khắp nơi,"omnipresence, pervasiveness, prevalence"
314,alleviate,/əˈliːvieɪt/,to make less severe,làm dịu,"ease, mitigate, lessen"
315,detachment,/dɪˈtætʃmənt/,the state of being objective,sự khách quan; sự tách rời,"objectivity, aloofness, separation"
316,decisive,/dɪˈsaɪsɪv/,settling an issue; resolute,"quyết định, dứt khoát","conclusive, definitive, resolute"
317,incontroverti ble,/ˌɪnkɑːntrəˈvɜ ːrtəbəl/,not able to be denied,không thể bác bỏ,"indisputable, irrefutable, undeniable"
318,nebulous,/ˈnebjələs/,hazy; vague or ill-defined,mơ hồ,"vague, unclear, hazy"
319,heterogeneo us,/ˌhetərəˈdʒiːn iəs/,diverse in character or content,không đồng nhất,"diverse, varied, mixed"
320,obfuscate,/ˈɑːbfəskeɪt/,to render obscure or unclear,"làm rối, làm khó hiểu","obscure, confuse, muddle"
321,oscillation,/ˌɑːsɪˈleɪʃən/,movement back and forth,sự dao động,"fluctuation, swinging, variation"
322,tenable,/ˈtenəbəl/,able to be maintained or defended,có thể bảo vệ được,"defensible, justifiable, sound "
323,definitive,/dɪˈfɪnətɪv/,decisive and authoritative,"dứt khoát, có thẩm quyền","conclusive, final, decisive"
324,contingent,/kənˈtɪndʒənt/,subject to chance; dependent on,"tùy thuộc, phụ thuộc","dependent, conditional, subject to"
325,emulation,/ˌemjəˈleɪʃən/,imitation aimed at equaling or surpassing,sự noi gương,"imitation, copying, mimicry"
326,proclivity,/proʊˈklɪvəti/,a tendency to choose or do something,"xu hướng, thiên hướng","tendency, inclination, predilection"
327,notional,/ˈnoʊʃənəl/,"existing as an idea, not real",có tính giả định,"theoretical, hypothetical, conceptual"
328,contrive,/kənˈtraɪv/,to create or bring about by deliberate skill,"tạo ra, sắp đặt","devise, fabricate, engineer"
329,proprietary,/prəˈpraɪəteri/,relating to ownership; private,thuộc sở hữu,"private, owned, exclusive"
330,localize,/ˈloʊkəlaɪz/,to restrict to a particular place,"khu trú, hạn chế trong vùng","confine, limit, contain"
331,extricate,/ˈekstrɪkeɪt/,to free from a difficulty,"gỡ ra, thoát ra","free, release, disentangle"
332,solidify,/səˈlɪdɪfaɪ/,to make solid; to make firmer,củng cố,"harden, strengthen, consolidate"
333,obliviousness,/əˈblɪviəsnəs/,the state of being unaware,"sự không biết, vô tâm","unawareness, ignorance, unmindfulness"
334,rigor,/ˈrɪɡər/,the quality of being thorough,"sự nghiêm ngặt, kỹ lưỡng","thoroughness, strictness, precision"
335,obscurity,/əbˈskjʊrəti/,the state of being unknown,"sự tối tăm, ít người biết","anonymity, unimportance, indistinctness"
336,shallowness,/ˈʃæloʊnəs/,lack of depth,sự nông cạn,"superficiality, triviality, lightness"
337,illuminate,/ɪˈluːmɪneɪt/,to make clear or understandable,làm sáng tỏ,"clarify, elucidate, enlighten"
338,exhaust,/ɪɡˈzɔːst/,to use up resources; to tire out,"dùng hết, làm kiệt sức","deplete, drain, consume"
339,superficial,/ˌsuːpərˈfɪʃəl/,existing only on the surface,hời hợt,"shallow, surface-level, cursory"
340,elasticity,/ɪˌlæsˈtɪsəti/,the ability to resume normal shape,tính đàn hồi,"flexibility, resilience, springiness"
341,prevail,/prɪˈveɪl/,to prove more powerful; to predominate,"thắng thế, phổ biến ","predominate, triumph, win out"
342,exemplar,/ɪɡˈzemplɑːr/,a person serving as a typical example,"tấm gương, mẫu mực","model, paragon, example"
343,credible,/ˈkredəbəl/,able to be believed,đáng tin,"believable, plausible, reliable"
344,proliferate,/prəˈlɪfəreɪt/,to increase rapidly in numbers,"lan tràn, sinh sôi","multiply, increase, burgeon"
345,predictable,/prɪˈdɪktəbəl/,able to be foretold,có thể đoán trước,"foreseeable, expected, anticipated"
346,entrench,/ɪnˈtrentʃ/,to establish firmly; to fortify,"cố thủ, củng cố","establish, fortify, embed"
347,conclusive,/kənˈkluːsɪv/,putting an end to doubt,có tính kết luận,"decisive, definitive, final"
348,latitude,/ˈlætɪtuːd/,scope for freedom of action,phạm vi tự do,"freedom, leeway, scope"
349,hostile,/ˈhɑːstəl/,unfriendly; opposed,thù địch,"antagonistic, unfriendly, adverse"
350,equivalence,/ɪˈkwɪvələns/,the condition of being equal,sự tương đương,"parity, sameness, equality"
351,aggregation,/ˌæɡrɪˈɡeɪʃən/,a collection of things grouped together,sự tập hợp,"collection, accumulation, mass"
352,distinctive,/dɪˈstɪŋktɪv/,characteristic of one person/thing,đặc trưng,"characteristic, unique, particular"
353,prohibitive,/prəˈhɪbɪtɪv/,(of price) excessively high; forbidding,"quá đắt, cấm đoán","excessive, forbidding, restrictive"
354,endure,/ɪnˈdʊr/,to suffer patiently; to last,"chịu đựng, kéo dài","bear, withstand, persist"
355,reciprocate,/rɪˈsɪprəkeɪt/,to respond in kind,đáp lại tương xứng,"return, repay, requite"
356,annotate,/ˈænəteɪt/,to add notes giving explanation,chú thích,"comment, explain, gloss"
357,convert,/kənˈvɜːrt/,to change the form or function of,"biến đổi, chuyển đổi","transform, change, alter"
358,exploit,/ɪkˈsplɔɪt/,to make full use of; to take unfair advantage,khai thác; lợi dụng,"utilize, leverage, capitalize on"
359,impede,/ɪmˈpiːd/,to delay or prevent by obstructing,cản trở,"hinder, obstruct, hamper"
360,brood,/bruːd/,to think deeply about something unpleasant,suy nghĩ ủ rũ,"ponder, mope, ruminate "
361,dependent,/dɪˈpendənt/,requiring something to exist or succeed,phụ thuộc,"reliant, contingent, subject"
362,hydroelectric,/ˌhaɪdroʊɪˈlek trɪk/,relating to electricity generated by water,thủy điện,"water-powered, hydropowered"
363,expose,/ɪkˈspoʊz/,to reveal or make publicly known,"phơi bày, tiết lộ","reveal, uncover, disclose"
364,welcome,/ˈwelkəm/,to greet warmly; pleasing,đón nhận; được hoan nghênh,"greet, receive, embrace"
365,analogical,/ˌænəˈlɑːdʒɪk əl/,based on or relating to analogy,"tương tự, loại suy","analogous, comparable, parallel"
366,acquiesce,/ˌækwiˈes/,to accept something reluctantly,miễn cưỡng đồng ý,"comply, consent, accept"
367,transcend,/trænˈsend/,to go beyond the limits of,vượt ra ngoài,"exceed, surpass, eclipse"
368,nullify,/ˈnʌlɪfaɪ/,to make legally null; to cancel out,vô hiệu hóa,"cancel, invalidate, negate"
369,denigrate,/ˈdenɪɡreɪt/,to criticize unfairly; to disparage,"phỉ báng, hạ thấp","disparage, belittle, malign"
370,arcane,/ɑːrˈkeɪn/,understood by few; mysterious,"bí ẩn, khó hiểu","esoteric, mysterious, obscure"
371,catalyst,/ˈkætəlɪst/,a person or thing that precipitates change,chất xúc tác,"stimulus, trigger, agent"
372,empirical,/ɪmˈpɪrɪkəl/,based on observation rather than theory,thực nghiệm,"observational, experimental, practical"
373,eccentricity,/ˌeksenˈtrɪsəti/,unconventional behavior,tính lập dị,"peculiarity, oddity, idiosyncrasy"
374,vacillation,/ˌvæsəˈleɪʃən/,wavering between different opinions,sự do dự,"indecision, hesitation, wavering"
375,consolidate,/kənˈsɑːlɪdeɪt/,to combine into a single more effective whole,"củng cố, hợp nhất","strengthen, unify, merge"
376,foretell,/fɔːrˈtel/,to predict the future,tiên đoán,"predict, forecast, prophesy"
377,peripheral,/pəˈrɪfərəl/,relating to the outer boundary; secondary,"ngoại biên, phụ","marginal, secondary, outer"
378,articulate,/ɑːrˈtɪkjələt/,having the ability to speak fluently,diễn đạt rõ ràng,"eloquent, expressive, fluent"
379,elucidate,/ɪˈluːsɪdeɪt/,to make something clear,làm sáng tỏ,"clarify, explain, illuminate"
380,extirpate,/ˈekstərpeɪt/,to root out and destroy completely,diệt trừ tận gốc,"eradicate, eliminate, exterminate"
381,countenance,/ˈkaʊntənəns/,to approve; a person's face,tán thành; vẻ mặt,"approve, endorse; face, expression"
382,axiomatic,/ˌæksiəˈmætɪ k/,self-evident; unquestionable,hiển nhiên,"self-evident, evident, indisputable"
383,confound,/kənˈfaʊnd/,to cause confusion; to mix up,"làm bối rối, làm nhầm lẫn","perplex, baffle, confuse"
384,assuage,/əˈsweɪdʒ/,to make an unpleasant feeling less,xoa dịu,"alleviate, soothe, mitigate"
385,amplify,/ˈæmplɪfaɪ/,to increase the volume or significance ,"khuếch đại, làm tăng","magnify, increase, intensify"
386,punctilious,/pʌŋkˈtɪliəs/,very careful about correct behavior,rất kỹ tính,"meticulous, scrupulous, particular"
387,inattentive,/ˌɪnəˈtentɪv/,not paying close attention,"lơ là, không chú ý","absent-minded, distracted, careless"
388,preoccupy,/priˈɑːkjəpaɪ/,to dominate or engross the mind,"ám ảnh, làm bận tâm","engross, absorb, consume"
389,circumspect,/ˈsɜːrkəmspe kt/,wary and unwilling to take risks,thận trọng,"cautious, prudent, wary"
390,mercurial,/mərˈkjʊriəl/,subject to sudden changes of mood,thất thường,"volatile, capricious, fickle"
391,assent,/əˈsent/,to express approval or agreement ,đồng ý,"agree, consent, concur"
392,inchoate,/ɪnˈkoʊət/,just begun and so not fully formed,"mới chớm, sơ khai","incipient, rudimentary, undeveloped"
393,extrapolate,/ɪkˈstræpəleɪt/,to extend application by inference,ngoại suy,"infer, deduce, project"
394,robust,/roʊˈbʌst/,strong and healthy,"mạnh mẽ, vững chắc","strong, sturdy, vigorous"
395,salutary,/ˈsæljəteri/,producing good effects,"có lợi, bổ ích","beneficial, advantageous, helpful"
396,forecast,/ˈfɔːrkæst/,to predict or estimate,dự báo,"predict, foretell, prognosticate"
397,impediment,/ɪmˈpedɪmənt/,a hindrance or obstruction,trở ngại,"obstacle, hindrance, barrier "
398,precursor,/prɪˈkɜːrsər/,a person or thing that comes before,"tiền thân, dấu hiệu báo trước","forerunner, predecessor, herald"
399,abrogation,/ˌæbrəˈɡeɪʃən/,the repeal of a law,sự bãi bỏ,"repeal, annulment, abolition"
400,insurmounta ble,/ˌɪnsərˈmaʊnt əbəl/,too great to be overcome,không thể vượt qua,"insuperable, overwhelming, hopeless"
401,nuance,/ˈnuːɑːns/,a subtle distinction,sự tinh tế,"subtlety, distinction, shade"
402,refinement,/rɪˈfaɪnmənt/,the improvement of something,"sự tinh chỉnh, tao nhã","improvement, sophistication, polish"
403,originality,/əˌrɪdʒɪˈnælət i/,the quality of being novel,tính nguyên bản,"novelty, creativity, inventiveness"
404,envisage,/ɪnˈvɪzɪdʒ/,to contemplate or conceive of as possible,"hình dung, tưởng tượng","envision, imagine, foresee "
405,caricature,/ˈkærɪkətʃər/,a description that exaggerates,tranh biếm họa,"parody, lampoon, exaggeration"
406,surmount,/sərˈmaʊnt/,to overcome a difficulty,vượt qua,"overcome, conquer, prevail over"
407,enmity,/ˈenməti/,the state of being actively opposed,sự thù địch,"hostility, animosity, antagonism"
408,replicable,/ˈreplɪkəbəl/,able to be copied exactly,có thể lặp lại,"reproducible, repeatable, duplicable"
409,conjectural,/kənˈdʒektʃər əl/,based on incomplete information,phỏng đoán,"speculative, hypothetical, tentative"
410,abstraction,/æbˈstrækʃən/,the quality of dealing with ideas,sự trừu tượng,"concept, theory, idea"
411,propitious,/prəˈpɪʃəs/,giving favorable indications,"thuận lợi, may mắn","favorable, auspicious, promising"
412,innocuous,/ɪˈnɑːkjuəs/,not harmful or offensive,vô hại,"harmless, inoffensive, benign"
413,intrinsic,/ɪnˈtrɪnsɪk/,belonging naturally; essential,"vốn có, bản chất","inherent, innate, essential"
414,synthesize,/ˈsɪnθəsaɪz/,to combine into a coherent whole,tổng hợp,"combine, integrate, merge"
415,align,/əˈlaɪn/,to place in a straight line; agree with,sắp xếp; phù hợp với,"arrange, agree, coordinate"
416,explicable,/ɪkˈsplɪkəbəl/,able to be accounted for,có thể giải thích,"explainable, understandable, accountable"
417,pervade,/pərˈveɪd/,to spread through every part of,lan tỏa khắp,"permeate, suffuse, fill"
418,emissary,/ˈemɪseri/,a person sent on a mission,sứ giả,"envoy, agent, representative"
419,incredulous,/ɪnˈkredʒələs/,unwilling or unable to believe,hoài nghi,"disbelieving, skeptical, doubtful"
420,collude,/kəˈluːd/,to cooperate in a secret plot,thông đồng,"conspire, plot, scheme"
421,auspicious,/ɔːˈspɪʃəs/,indicating good fortune,tốt lành,"favorable, promising, propitious"
422,plausible,/ˈplɔːzəbəl/,seeming reasonable or probable,có vẻ hợp lý,"credible, believable, reasonable"
423,apparent,/əˈpærənt/,clearly visible or understood,"rõ ràng, hiển nhiên","evident, obvious, clear"
424,excessive,/ɪkˈsesɪv/,more than necessary; immoderate,quá mức,"immoderate, extravagant, undue"
425,restrain,/rɪˈstreɪn/,to prevent from doing something,"kìm chế, ngăn lại","control, curb, contain"
426,underestimat e,/ˌʌndərˈestɪm eɪt/,to estimate at too low a value,đánh giá thấp,"undervalue, miscalculate, minimize"
427,familiarity,/fəˌmɪliˈærəti/,close acquaintance with something,sự quen thuộc,"acquaintance, knowledge, awareness"
428,domination,/ˌdɑːmɪˈneɪʃə n/,the exercise of control over others,sự thống trị,"control, dominance, supremacy"
429,comprehensi on,/ˌkɑːmprɪˈhen ʃən/,the ability to understand something,sự lĩnh hội,"understanding, grasp, perception"
430,skillfulness,/ˈskɪlfəlnəs/,the quality of being skillful,sự khéo léo,"expertise, proficiency, dexterity"
431,constraint,/kənˈstreɪnt/,a limitation or restriction,"ràng buộc, hạn chế","limitation, restriction, restraint"
432,concealment,/kənˈsiːlmənt/,the action of hiding something,sự che giấu,"hiding, secrecy, cover-up"
433,exhibition,/ˌeksɪˈbɪʃən/,a public display of art or items,cuộc triển lãm,"display, show, presentation"
434,mawkishness,/ˈmɔːkɪʃnəs/,sentimentality in a sickly way,tình cảm ướt át,"sentimentality, sappiness, schmaltz"
435,predictability,/prɪˌdɪktəˈbɪlə ti/,the quality of being predictable ,tính có thể đoán trước,"regularity, expectedness, consistency"
436,ostentatious ness,/ˌɑːstenˈteɪʃə snəs/,the quality of being showy,sự phô trương,"showiness, flashiness, pretentiousness"
437,lack,/læk/,the state of being without,thiếu hụt,"shortage, dearth, deficiency"
438,resolution,/ˌrezəˈluːʃən/,a firm decision; the action of solving,"sự giải quyết, quyết tâm","decision, determination, solution"
439,negotiation,/nɪˌɡoʊʃiˈeɪʃə n/,discussion to reach agreement,sự đàm phán,"discussion, bargaining, mediation"
440,justification,/ˌdʒʌstɪfɪˈkeɪʃ ən/,a good reason for an action,sự biện minh,"reason, rationale, defense"
441,monitor,/ˈmɑːnɪtər/,to observe and check the progress of,theo dõi,"observe, watch, supervise "
442,exchange,/ɪksˈtʃeɪndʒ/,an act of giving in return for receiving,sự trao đổi,"trade, swap, interchange"
443,extort,/ɪkˈstɔːrt/,to obtain by force or threats,"tống tiền, cưỡng đoạt","coerce, blackmail, force"
444,geothermal,/ˌdʒiːoʊˈθɜːrm əl/,relating to internal heat of earth,địa nhiệt,"earth-heat, terrestrial"
445,deficit,/ˈdefɪsɪt/,the amount by which something falls short,sự thâm hụt,"shortfall, deficiency, shortage"
446,lifecycle,/ˈlaɪfsaɪkəl/,the series of changes in life,vòng đời,"life span, life history, biological cycle"
447,unnecessary,/ʌnˈnesəseri/,not needed,không cần thiết,"needless, superfluous, redundant"
448,equate,/ɪˈkweɪt/,to consider as equal,đánh đồng,"compare, liken, identify with"
449,mildly,/ˈmaɪldli/,in a gentle or slight manner,"nhẹ nhàng, hơi","slightly, gently, moderately"
450,admiration,/ˌædməˈreɪʃə n/,respect and warm approval,sự ngưỡng mộ,"respect, esteem, regard"
451,imitation,/ˌɪmɪˈteɪʃən/,the action of using something as a model,sự bắt chước,"copy, mimicry, replication"
452,controversy,/ˈkɑːntrəvɜːrs i/,prolonged public dispute,sự tranh cãi,"dispute, debate, contention"
453,perceive,/pərˈsiːv/,to become aware of through senses,"nhận thức, cảm nhận","discern, notice, recognize"
454,restate,/riˈsteɪt/,to state again or in a different way,trình bày lại,"rephrase, reiterate, repeat"
455,thrive,/θraɪv/,to grow vigorously; to prosper,phát triển mạnh,"flourish, prosper, succeed"
456,illustrate,/ˈɪləstreɪt/,to provide an example of,minh họa,"demonstrate, exemplify, show"
457,inferior,/ɪnˈfɪriər/,"lower in rank, status, or quality","kém hơn, hạng thấp","lesser, lower, second-rate"
458,accelerate,/əkˈseləreɪt/,to make faster,"đẩy nhanh, tăng tốc","speed up, hasten, expedite"
459,laud,/lɔːd/,to praise highly,ca tụng,"praise, extol, acclaim"
460,inconsequent ial,/ɪnˌkɑːnsɪˈkw enʃəl/,not important or significant,không quan trọng ,"insignificant, trivial, negligible"
461,resolve,/rɪˈzɑːlv/,to settle or find a solution to,giải quyết; quyết tâm,"solve, settle, determine"
462,downplay,/ˈdaʊnpleɪ/,to make to seem less important,giảm tầm quan trọng,"minimize, underplay, deemphasize"
463,stimulate,/ˈstɪmjəleɪt/,to encourage or arouse interest in,kích thích,"encourage, prompt, spur"
464,pedestrian,/pəˈdestriən/,lacking inspiration; commonplace,tầm thường,"dull, prosaic, unimaginative"
465,exiguous,/ɪɡˈzɪɡjuəs/,very small in size or amount,"rất nhỏ, ít ỏi","meager, scant, sparse"
466,sincere,/sɪnˈsɪr/,free from pretense; genuine,chân thành,"genuine, honest, candid"
467,dubious,/ˈduːbiəs/,hesitating or doubting,đáng ngờ,"doubtful, questionable, suspect"
468,indispensabl e,/ˌɪndɪˈspensə bəl/,absolutely necessary,không thể thiếu,"essential, vital, crucial"
469,insular,/ˈɪnsələr/,ignorant of or uninterested in cultures other than one's own,"cô lập, hẹp hòi","narrow-minded, parochial, isolated"
470,inventive,/ɪnˈventɪv/,having the ability to create new things,có óc sáng tạo,"creative, imaginative, ingenious"
471,abet,/əˈbet/,to encourage or assist in wrongdoing,"tiếp tay, hỗ trợ","assist, aid, help"
472,decry,/dɪˈkraɪ/,to publicly denounce,"lên án, chê bai","condemn, denounce, criticize "
473,lambaste,/læmˈbeɪst/,to criticize harshly,chỉ trích gay gắt,"criticize, castigate, censure"
474,uncontrovers ial,/ʌnˌkɑːntrəˈvɜ ːrʃəl/,not causing disagreement,không gây tranh cãi,"agreeable, accepted, undisputed"
475,component,/kəmˈpoʊnən t/,a part of something,thành phần,"element, part, constituent"
476,epitome,/ɪˈpɪtəmi/,a perfect example of a quality,hình ảnh tiêu biểu,"embodiment, personification, archetype"
477,eclipse,/ɪˈklɪps/,to surpass in importance; to obscure,"che mờ, làm lu mờ","outshine, overshadow, surpass"
478,compulsory,/kəmˈpʌlsəri/,required by law or rule,bắt buộc,"mandatory, obligatory, required"
479,concomitant,/kənˈkɑːmɪtə nt/,naturally accompanying or associated ,đi kèm theo,"accompanying, attendant, associated"
480,synchronicity,/ˌsɪŋkrəˈnɪsəti/,the simultaneous occurrence of events,sự đồng bộ,"coincidence, simultaneity, concurrence"
481,obfuscation,/ˌɑːbfəˈskeɪʃə n/,the action of making unclear,"sự che giấu, làm rối","obscuring, confusion, muddling"
482,antipathy,/ænˈtɪpəθi/,a deep-seated feeling of dislike,ác cảm,"hostility, aversion, dislike"
483,insouciance,/ɪnˈsuːsiəns/,casual lack of concern,sự thờ ơ vô tư,"indifference, nonchalance, unconcern"
484,erratic,/ɪˈrætɪk/,not even or regular in pattern,thất thường,"irregular, inconsistent, unpredictable"
485,contradict,/ˌkɑːntrəˈdɪkt/,to deny the truth of,"mâu thuẫn, bác bỏ","deny, oppose, refute"
486,encomium,/enˈkoʊmiəm/,a speech expressing high praise,lời tán dương,"tribute, eulogy, accolade"
487,paragon,/ˈpærəɡɑːn/,a model of excellence,khuôn mẫu hoàn hảo,"model, exemplar, ideal"
488,controvert,/ˈkɑːntrəvɜːrt/,to deny the truth of; to dispute,phản bác,"dispute, contest, deny"
